id,name,type,gender,country,begin_date,end_date,begin_area_id,begin_area_name,area_id,area_name,place_id,place,place_full
c7bee23e-f9bb-4dee-b1e3-5d49f81cde11,Motorama,Group,,RU,2006,,4c13267c-6995-4c02-8aa4-c11b5f4f52e7,Rostov-on-Don,1f1fc3a4-9500-39b8-9f10-f0a465557eef,Russia,4c13267c-6995-4c02-8aa4-c11b5f4f52e7,Rostov-on-Don,"Rostov-on-Don, Rostovskaya oblast', Russia"
9386b36e-87f3-4716-a219-79a07a4e29cc,We Are Scientists,Group,,US,2000,,f9719692-c39a-4d9c-bf8c-dd4035b09534,Berkeley,489ce91b-6658-3307-9877-795b68554c98,United States,f9719692-c39a-4d9c-bf8c-dd4035b09534,Berkeley,"Berkeley, Alameda County, California, United States"
be04c6a7-f7e8-4236-8124-3883d05eb259,Dead Confederate,Group,,,2006,,f5489a89-458e-4a1a-8cec-f327a6b9dde0,Augusta,29d7853f-28be-4114-8a5b-5dd95d162d69,Athens,f5489a89-458e-4a1a-8cec-f327a6b9dde0,Augusta,"Augusta, Richmond County, Georgia, United States"
40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27,The Smiths,Group,,GB,1982,1987,852531bf-3410-401f-b432-9c3157a386b9,Manchester,8a754a16-0027-3a29-b6d7-2b40ea0481ed,United Kingdom,852531bf-3410-401f-b432-9c3157a386b9,Manchester,"Manchester, Greater Manchester, England, United Kingdom"
ff95eb47-41c4-4f7f-a104-cdc30f02e872,Brian Eno,Person,Male,GB,1948-05-15,,80915c8f-137c-4f54-86f8-f59567caf217,Woodbridge,8a754a16-0027-3a29-b6d7-2b40ea0481ed,United Kingdom,80915c8f-137c-4f54-86f8-f59567caf217,Woodbridge,"Woodbridge, Suffolk, England, United Kingdom"
0bc7efef-33dd-4d83-8bd0-f9608b158157,Johnny Ace,Person,Male,US,1929-06-09,1954-12-25,c2d96f61-75a4-4375-aed5-6aacb0b6326a,Memphis,489ce91b-6658-3307-9877-795b68554c98,United States,c2d96f61-75a4-4375-aed5-6aacb0b6326a,Memphis,"Memphis, Shelby County, Tennessee, United States"
1fb60b6c-0f4d-42b4-8a5e-de705ec76660,Amadou & Mariam,Group,,ML,1980,,acc5a33c-4f3f-4f3a-8d7c-5d8ce6afe364,Bamako,c35e6d5e-9011-32e5-a23f-9e7639b7350c,Mali,acc5a33c-4f3f-4f3a-8d7c-5d8ce6afe364,Bamako,"Bamako, Mali"
1c1c86a2-7850-47ac-8771-ae6359bae2b7,Link Wray,Person,Male,US,1929-05-02,2005-11-05,,,489ce91b-6658-3307-9877-795b68554c98,United States,489ce91b-6658-3307-9877-795b68554c98,United States,United States
233fc3f3-6de2-465c-985e-e721dbabbace,Fugazi,Group,,US,1987,2003,af59135f-38b5-4ea4-b4e2-dd28c5f0bad7,"Washington, D.C.",489ce91b-6658-3307-9877-795b68554c98,United States,af59135f-38b5-4ea4-b4e2-dd28c5f0bad7,"Washington, D.C.","Washington, D.C., United States"
98400193-5390-4720-b29e-65593037256c,Forest Swords,Person,Male,GB,,,,,8a754a16-0027-3a29-b6d7-2b40ea0481ed,United Kingdom,8a754a16-0027-3a29-b6d7-2b40ea0481ed,United Kingdom,United Kingdom
f467181e-d5e0-4285-b47e-e853dcc89ee7,Ratatat,Group,,US,2001,,a71b0d32-7752-49e9-8594-2247ad6ac12c,Brooklyn,489ce91b-6658-3307-9877-795b68554c98,United States,a71b0d32-7752-49e9-8594-2247ad6ac12c,Brooklyn,"Brooklyn, New York, New York, United States"
eb872766-98f6-453d-883f-2ae908a18315,TV on the Radio,Group,,US,2001,,a71b0d32-7752-49e9-8594-2247ad6ac12c,Brooklyn,489ce91b-6658-3307-9877-795b68554c98,United States,a71b0d32-7752-49e9-8594-2247ad6ac12c,Brooklyn,"Brooklyn, New York, New York, United States"
d5cc67b8-1cc4-453b-96e8-44487acdebea,Beach House,Group,,US,2004,,2fb5445d-3987-49fe-957a-f730a7acc4a2,Baltimore,489ce91b-6658-3307-9877-795b68554c98,United States,2fb5445d-3987-49fe-957a-f730a7acc4a2,Baltimore,"Baltimore, Maryland, United States"
64b94289-9474-4d43-8c93-918ccc1920d1,Billy Joel,Person,Male,US,1949-05-09,,eb4a386e-1178-4e3a-a371-30418dd6fd2e,The Bronx,489ce91b-6658-3307-9877-795b68554c98,United States,eb4a386e-1178-4e3a-a371-30418dd6fd2e,The Bronx,"The Bronx, New York, New York, United States"
d59c4cda-11d9-48db-8bfe-b557ee602aed,Billie Holiday,Person,Female,US,1915-04-07,1959-07-17,0eeb01c2-6e31-46ad-96b8-319749f731d2,Philadelphia,489ce91b-6658-3307-9877-795b68554c98,United States,0eeb01c2-6e31-46ad-96b8-319749f731d2,Philadelphia,"Philadelphia, Philadelphia County, Pennsylvania, United States"
197450cd-0124-4164-b723-3c22dd16494d,Frank Sinatra,Person,Male,US,1915-12-12,1998-05-14,0a61386e-15df-4a38-a1f6-d751e133a1a9,Hoboken,489ce91b-6658-3307-9877-795b68554c98,United States,0a61386e-15df-4a38-a1f6-d751e133a1a9,Hoboken,"Hoboken, Hudson County, New Jersey, United States"
9d1ebcfe-4c15-4d18-95d3-d919898638a1,Lou Reed,Person,Male,US,1942-03-02,2013-10-27,a71b0d32-7752-49e9-8594-2247ad6ac12c,Brooklyn,489ce91b-6658-3307-9877-795b68554c98,United States,a71b0d32-7752-49e9-8594-2247ad6ac12c,Brooklyn,"Brooklyn, New York, New York, United States"
48e78462-2f0b-4a1a-9fa4-0585e2991e80,Bobby Womack,Person,Male,US,1944-03-04,2014-06-27,7b2ca1e7-e7f6-4155-881d-c660a45c11e8,Cleveland,489ce91b-6658-3307-9877-795b68554c98,United States,7b2ca1e7-e7f6-4155-881d-c660a45c11e8,Cleveland,"Cleveland, Cuyahoga County, Ohio, United States"
